timestamp,norm_min_cpu,norm_max_cpu,norm_avg
1/2/2017 14:45,0.2921,0.3574,0.3247
1/2/2017 14:50,0.3253,0.3476,0.3365
1/2/2017 14:55,0.2500,0.3633,0.3067
1/2/2017 15:00,0.2690,0.3454,0.3072
1/2/2017 15:05,0.2966,0.3428,0.3197
1/2/2017 15:10,0.2459,0.3356,0.2907
1/2/2017 15:15,0.2643,0.3321,0.2982
1/2/2017 15:20,0.2732,0.3213,0.2972
1/2/2017 15:25,0.2655,0.3954,0.3304
1/2/2017 15:30,0.3046,0.3887,0.3467
1/2/2017 15:35,0.3354,0.3966,0.3660
1/2/2017 15:40,0.2887,0.3715,0.3301
1/2/2017 15:45,0.2971,0.3481,0.3226
1/2/2017 15:50,0.3103,0.3538,0.3321
1/2/2017 15:55,0.3099,0.3669,0.3384
1/2/2017 16:00,0.3231,0.3667,0.3449
1/2/2017 16:05,0.3393,0.3599,0.3496
1/2/2017 16:10,0.3039,0.3655,0.3347
1/2/2017 16:15,0.3158,0.3646,0.3402
1/2/2017 16:20,0.3304,0.3684,0.3494
1/2/2017 16:25,0.3050,0.4411,0.3730
1/2/2017 16:30,0.3322,0.4068,0.3695
1/2/2017 16:35,0.3804,0.4191,0.3998
1/2/2017 16:40,0.3760,0.4287,0.4024
1/2/2017 16:45,0.3758,0.4208,0.3983
1/2/2017 16:50,0.3548,0.3959,0.3754
1/2/2017 16:55,0.3124,0.4109,0.3616
1/2/2017 17:00,0.3448,0.4037,0.3743
1/2/2017 17:05,0.3618,0.3868,0.3743
1/2/2017 17:10,0.3034,0.3830,0.3432
1/2/2017 17:15,0.3255,0.3776,0.3515
1/2/2017 17:20,0.3523,0.3681,0.3602
1/2/2017 17:25,0.2915,0.4968,0.3941
1/2/2017 17:30,0.2830,0.4723,0.3776
1/2/2017 17:35,0.2968,0.4728,0.3848
1/2/2017 17:40,0.2724,0.4677,0.3701
1/2/2017 17:45,0.3001,0.4377,0.3689
1/2/2017 17:50,0.3120,0.4235,0.3677
1/2/2017 17:55,0.2670,0.3713,0.3192
1/2/2017 18:00,0.2909,0.3492,0.3200
1/2/2017 18:05,0.3264,0.3654,0.3459
1/2/2017 18:10,0.3006,0.3819,0.3413
1/2/2017 18:15,0.3368,0.3747,0.3557
1/2/2017 18:20,0.3279,0.3633,0.3456
1/2/2017 18:25,0.2712,0.4045,0.3379
1/2/2017 18:30,0.3082,0.3682,0.3382
1/2/2017 18:35,0.3248,0.3851,0.3549
1/2/2017 18:40,0.2765,0.3805,0.3285
1/2/2017 18:45,0.3200,0.3681,0.3440
1/2/2017 18:50,0.2967,0.3502,0.3234
1/2/2017 18:55,0.2816,0.3590,0.3203
1/2/2017 19:00,0.2833,0.3395,0.3114
1/2/2017 19:05,0.2950,0.3417,0.3183
1/2/2017 19:10,0.2505,0.3555,0.3030
1/2/2017 19:15,0.2704,0.3420,0.3062
1/2/2017 19:20,0.2782,0.3385,0.3083
1/2/2017 19:25,0.2606,0.3842,0.3224
1/2/2017 19:30,0.2652,0.3481,0.3066
1/2/2017 19:35,0.2665,0.3754,0.3209
1/2/2017 19:40,0.2245,0.3736,0.2990
1/2/2017 19:45,0.2363,0.3552,0.2958
1/2/2017 19:50,0.2852,0.3338,0.3095
1/2/2017 19:55,0.2437,0.3388,0.2912
1/2/2017 20:00,0.2631,0.3328,0.2979
